network_packet_size,protocol_type,login_attempts,session_duration,encryption_used,ip_reputation_score,failed_logins,browser_type,unusual_time_access
599,TCP,4,492.9832634426563,DES,0.606818080396889,1,Edge,0
472,TCP,3,1557.9964611204384,DES,0.3015689675960893,0,Firefox,0
629,TCP,3,75.04426166420741,DES,0.7391643279163831,2,Chrome,0
804,UDP,4,601.2488351708328,DES,0.1232671757524846,0,Unknown,0
453,TCP,5,532.5408884201419,AES,0.0548738567431703,1,Firefox,0
453,UDP,5,380.4715502453134,AES,0.4224858607066699,2,Chrome,1
815,ICMP,4,728.1071646972356,AES,0.4137719285892984,1,Chrome,0
653,TCP,3,12.5999060098958,DES,0.0977193658576949,3,Chrome,1
406,TCP,2,542.5588952208974,,0.2945796876500889,0,Chrome,1
608,UDP,6,531.9441066211396,,0.4241165641663546,1,Chrome,0
407,UDP,6,580.7219253670751,DES,0.1228937389064628,3,Firefox,0
406,UDP,9,191.0528369326706,DES,0.3397112713433893,1,Edge,0
548,TCP,2,186.1476383415076,,0.4068986326067099,2,Safari,1
117,TCP,4,833.4889649491395,DES,0.4732919047923998,2,Unknown,0
155,TCP,3,77.84995157439054,,0.3524755745227921,3,Chrome,0
387,ICMP,6,292.1361960073892,DES,0.2549124511362793,3,Chrome,0
297,TCP,8,1421.414371761036,AES,0.345367552273892,3,Firefox,0
562,UDP,1,87.64100168835026,,0.1367291897579692,2,Firefox,0
318,TCP,5,504.98866997657433,AES,0.3942314568896387,1,Unknown,0
217,ICMP,2,883.6175678484254,DES,0.3101131570512104,0,Chrome,0
793,TCP,3,122.1894142089281,AES,0.3693246493280864,2,Firefox,0
454,TCP,1,299.71154797427783,,0.3738745916057353,1,Chrome,0
513,TCP,3,654.5261426459776,AES,0.4970295435549451,1,Firefox,0
215,TCP,8,317.0788581057768,AES,0.461950842242767,2,Chrome,0
391,TCP,5,93.17112499822254,AES,0.536245189457405,2,Firefox,0
522,TCP,4,211.59584253834697,AES,0.1078985576055601,3,Firefox,0
269,TCP,9,92.70169297371484,,0.5068194256848887,0,Chrome,0
575,TCP,3,3286.221727767748,DES,0.4204711850467863,0,Chrome,0
379,UDP,2,214.98212232301017,AES,0.7863154442710675,2,Chrome,0
441,TCP,7,604.9615522886485,AES,0.3360318477936075,0,Firefox,0
379,TCP,1,447.62330730772806,DES,0.0993898185618982,0,Chrome,0
870,UDP,2,674.2716307687525,DES,0.2720868405623606,1,Chrome,0
497,TCP,1,551.4693389958693,,0.0351392525704552,1,Chrome,1
288,ICMP,2,1039.10118603804,AES,0.110269438624984,3,Chrome,0
664,TCP,6,1650.942099269792,,0.3915442086550267,2,Chrome,1
255,TCP,2,268.71323796747225,AES,0.5173361768348047,1,Chrome,1
541,TCP,5,162.2873080817919,,0.1379758234123113,2,Chrome,0
108,TCP,7,3325.3086894656926,AES,0.0795093219361312,2,Firefox,0
234,TCP,5,1608.365096858205,DES,0.6459042598252172,4,Firefox,0
539,TCP,4,361.9425945829811,DES,0.3087899599206534,0,Chrome,0
647,TCP,2,1801.41325899014,,0.2991840394359722,1,Chrome,0
534,TCP,4,888.2555882449734,AES,0.0367521363575246,3,Chrome,0
476,TCP,4,460.1784563437431,DES,0.3974194615917665,2,Edge,0
439,TCP,5,1653.5169443242044,,0.2453131148697448,2,Chrome,0
204,TCP,4,899.8403029798167,DES,0.3373211395417786,1,Chrome,0
356,TCP,2,1401.0372662699012,DES,0.6729768279913647,1,Chrome,0
407,TCP,7,432.6976830475844,DES,0.081769711383674,3,Edge,1
711,TCP,5,1282.4285713839413,AES,0.207445483534184,2,Edge,0
568,TCP,6,365.73555486698257,AES,0.5343683322456065,2,Unknown,0
147,TCP,1,1062.659149730583,AES,0.2633726317268964,1,Edge,0
564,TCP,2,457.4952008808089,,0.219704731816743,1,Edge,1
422,TCP,5,415.6167950841102,AES,0.4663241681421678,1,Chrome,0
