encryption_used,browser_type,protocol_type,unusual_time_access
DES,Edge,TCP,0
DES,Firefox,TCP,0
DES,Chrome,TCP,0
DES,Unknown,UDP,0
AES,Firefox,TCP,0
AES,Chrome,UDP,1
AES,Chrome,ICMP,0
DES,Chrome,TCP,1
,Chrome,TCP,1
,Chrome,UDP,0
DES,Firefox,UDP,0
DES,Edge,UDP,0
,Safari,TCP,1
DES,Unknown,TCP,0
,Chrome,TCP,0
DES,Chrome,ICMP,0
AES,Firefox,TCP,0
,Firefox,UDP,0
AES,Unknown,TCP,0
DES,Chrome,ICMP,0
AES,Firefox,TCP,0
,Chrome,TCP,0
AES,Firefox,TCP,0
AES,Chrome,TCP,0
AES,Firefox,TCP,0
AES,Firefox,TCP,0
,Chrome,TCP,0
DES,Chrome,TCP,0
AES,Chrome,UDP,0
AES,Firefox,TCP,0
DES,Chrome,TCP,0
DES,Chrome,UDP,0
,Chrome,TCP,1
AES,Chrome,ICMP,0
,Chrome,TCP,1
AES,Chrome,TCP,1
,Chrome,TCP,0
AES,Firefox,TCP,0
DES,Firefox,TCP,0
DES,Chrome,TCP,0
,Chrome,TCP,0
AES,Chrome,TCP,0
DES,Edge,TCP,0
,Chrome,TCP,0
DES,Chrome,TCP,0
DES,Chrome,TCP,0
DES,Edge,TCP,1
AES,Edge,TCP,0
AES,Unknown,TCP,0
AES,Edge,TCP,0
,Edge,TCP,1
AES,Chrome,TCP,0
AES,Firefox,TCP,0
,Firefox,TCP,1
DES,Edge,TCP,1
DES,Firefox,TCP,0
AES,Chrome,TCP,0
DES,Chrome,TCP,0
DES,Firefox,UDP,0
AES,Edge,UDP,0
DES,Chrome,TCP,0
AES,Chrome,TCP,0
AES,Edge,TCP,0
AES,Chrome,UDP,0
,Safari,TCP,0
,Chrome,ICMP,1
,Chrome,TCP,0
DES,Chrome,TCP,0
DES,Chrome,TCP,0
AES,Chrome,TCP,0
AES,Edge,TCP,0
AES,Unknown,TCP,0
AES,Edge,TCP,0
DES,Chrome,UDP,0
,Chrome,TCP,0
,Chrome,TCP,0
DES,Edge,TCP,0
DES,Chrome,UDP,0
AES,Chrome,UDP,0
,Edge,TCP,0
DES,Firefox,TCP,0
DES,Chrome,TCP,1
AES,Chrome,TCP,0
,Chrome,TCP,0
AES,Edge,UDP,0
,Chrome,TCP,0
AES,Firefox,TCP,0
AES,Chrome,TCP,1
AES,Chrome,UDP,0
AES,Chrome,TCP,1
AES,Firefox,TCP,1
DES,Edge,TCP,0
AES,Chrome,TCP,0
DES,Firefox,UDP,0
DES,Safari,TCP,0
AES,Firefox,UDP,0
AES,Safari,TCP,0
AES,Firefox,TCP,0
AES,Firefox,UDP,0
AES,Firefox,TCP,0
AES,Edge,TCP,0
AES,Chrome,TCP,0
AES,Firefox,TCP,0
DES,Firefox,TCP,0
AES,Chrome,ICMP,0
DES,Chrome,ICMP,0
,Edge,TCP,0
,Chrome,TCP,0
DES,Firefox,TCP,0
DES,Chrome,TCP,0
AES,Edge,TCP,0
AES,Firefox,TCP,0
DES,Chrome,TCP,1
DES,Firefox,TCP,0
DES,Edge,TCP,0
DES,Chrome,TCP,0
DES,Unknown,UDP,0
,Safari,TCP,1
DES,Chrome,TCP,0
,Chrome,TCP,1
DES,Chrome,TCP,0
DES,Edge,TCP,0
,Chrome,TCP,0
DES,Firefox,ICMP,1
AES,Firefox,TCP,0
AES,Firefox,TCP,0
AES,Firefox,TCP,0
,Chrome,ICMP,1
AES,Chrome,UDP,0
AES,Chrome,UDP,0
AES,Chrome,TCP,0
AES,Chrome,ICMP,1
,Chrome,TCP,0
AES,Firefox,TCP,0
DES,Chrome,UDP,0
AES,Unknown,UDP,0
AES,Edge,TCP,1
AES,Safari,TCP,0
AES,Chrome,TCP,0
DES,Unknown,TCP,0
AES,Unknown,TCP,0
AES,Chrome,ICMP,0
AES,Edge,TCP,1
DES,Firefox,UDP,0
DES,Chrome,UDP,0
AES,Chrome,TCP,0
AES,Firefox,UDP,0
AES,Chrome,TCP,0
,Chrome,TCP,0
AES,Chrome,TCP,0
,Chrome,TCP,0
,Chrome,UDP,1
AES,Chrome,ICMP,0
AES,Chrome,TCP,0
DES,Safari,UDP,0
DES,Edge,TCP,0
DES,Chrome,UDP,0
AES,Chrome,TCP,0
,Safari,TCP,0
AES,Chrome,TCP,0
AES,Edge,TCP,0
,Chrome,TCP,0
DES,Firefox,UDP,0
DES,Chrome,TCP,0
,Chrome,UDP,0
AES,Chrome,UDP,0
AES,Edge,TCP,0
,Firefox,TCP,0
AES,Chrome,UDP,0
AES,Chrome,TCP,0
AES,Chrome,TCP,0
,Chrome,TCP,0
AES,Chrome,TCP,1
DES,Edge,ICMP,0
AES,Chrome,TCP,0
DES,Firefox,TCP,0
DES,Firefox,TCP,0
DES,Firefox,UDP,0
AES,Firefox,UDP,1
AES,Edge,TCP,0
AES,Chrome,TCP,0
,Chrome,TCP,0
DES,Chrome,TCP,1
AES,Chrome,TCP,0
,Firefox,ICMP,0
,Chrome,TCP,0
AES,Chrome,TCP,0
DES,Chrome,UDP,0
AES,Edge,TCP,0
AES,Edge,TCP,0
AES,Edge,TCP,0
DES,Unknown,TCP,0
AES,Firefox,UDP,1
AES,Chrome,TCP,0
DES,Chrome,TCP,0
,Edge,TCP,0
DES,Chrome,UDP,0
DES,Firefox,TCP,0
AES,Chrome,TCP,0
DES,Chrome,ICMP,0
DES,Firefox,TCP,0
DES,Safari,UDP,0
,Chrome,TCP,0
DES,Firefox,TCP,0
DES,Edge,TCP,0
AES,Chrome,TCP,0
AES,Chrome,TCP,0
AES,Edge,TCP,0
DES,Chrome,TCP,0
DES,Chrome,TCP,0
AES,Chrome,TCP,0
AES,Chrome,ICMP,0
,Chrome,TCP,0
AES,Edge,ICMP,0
AES,Chrome,TCP,0
AES,Chrome,TCP,0
,Unknown,TCP,1
AES,Safari,UDP,0
AES,Chrome,UDP,0
DES,Chrome,TCP,1
AES,Chrome,UDP,1
AES,Chrome,TCP,0
,Chrome,TCP,0
,Firefox,ICMP,0
AES,Chrome,UDP,0
AES,Unknown,ICMP,0
AES,Chrome,TCP,1
AES,Firefox,TCP,0
AES,Chrome,TCP,0
AES,Firefox,TCP,0
AES,Chrome,UDP,0
,Edge,TCP,0
AES,Chrome,TCP,0
DES,Chrome,TCP,0
AES,Chrome,TCP,0
DES,Chrome,TCP,0
AES,Chrome,TCP,0
AES,Chrome,UDP,0
,Chrome,TCP,0
DES,Chrome,UDP,0
DES,Chrome,TCP,0
,Chrome,TCP,0
,Edge,TCP,0
AES,Chrome,UDP,0
AES,Firefox,TCP,0
DES,Edge,TCP,1
AES,Chrome,TCP,0
AES,Firefox,TCP,0
AES,Firefox,UDP,0
,Chrome,UDP,0
DES,Chrome,TCP,0
,Chrome,TCP,0
AES,Chrome,UDP,0
AES,Firefox,TCP,1
AES,Chrome,TCP,0
,Chrome,TCP,0
AES,Edge,TCP,0
DES,Safari,TCP,1
DES,Chrome,UDP,0
DES,Edge,TCP,0
DES,Safari,TCP,0
AES,Chrome,UDP,0
AES,Chrome,TCP,0
DES,Firefox,TCP,0
AES,Chrome,TCP,0
AES,Chrome,TCP,0
AES,Chrome,UDP,0
AES,Chrome,UDP,0
AES,Chrome,TCP,0
,Chrome,UDP,0
DES,Edge,TCP,1
AES,Chrome,UDP,1
AES,Edge,TCP,0
,Chrome,TCP,0
,Chrome,TCP,0
,Edge,TCP,0
AES,Safari,TCP,0
DES,Firefox,TCP,0
AES,Chrome,UDP,0
AES,Safari,TCP,0
AES,Firefox,ICMP,0
AES,Firefox,TCP,0
,Chrome,TCP,0
DES,Firefox,UDP,0
AES,Chrome,TCP,0
,Firefox,UDP,0
AES,Chrome,UDP,0
DES,Chrome,TCP,0
DES,Firefox,TCP,0
AES,Chrome,TCP,0
DES,Chrome,TCP,0
AES,Chrome,TCP,0
AES,Unknown,UDP,0
AES,Chrome,TCP,1
AES,Firefox,TCP,0
,Safari,TCP,0
AES,Edge,ICMP,0
DES,Chrome,TCP,0
AES,Chrome,TCP,0
,Chrome,TCP,0
DES,Chrome,ICMP,0
AES,Firefox,ICMP,0
DES,Firefox,TCP,0
AES,Chrome,UDP,0
AES,Unknown,TCP,1
DES,Chrome,ICMP,0
AES,Firefox,TCP,0
AES,Firefox,TCP,1
DES,Chrome,TCP,1
AES,Chrome,TCP,1
AES,Chrome,UDP,1
AES,Chrome,TCP,0
AES,Chrome,ICMP,1
,Chrome,TCP,0
